SYMBOL,Market_Cap_Crore
AADHARHFC,21658.4290304
AARTIIND,14159.290368
AAVAS,12764.0969216
ABB,110785.6982016
ABBOTINDIA,62589.8160128
ABCAPITAL,85449.1004928
ABDL,17960.1883136
ABLBL,16104.8281088
ABREL,20226.080768
ABSLAMC,22239.133696
ACC,35324.5626368
ACE,12817.1409408
ACMESOLAR,16758.6742272
ACUTAAS,14489.9801088
ADANIENSOL,116319.8857216
ADANIENT,268676.62848
ADANIGREEN,183470.2471168
ADANIPORTS,311883.6482048
ADANIPOWER,295383.6756992
AEGISLOG,26907.6594688
AEGISVOPAK,29098.9473792
AFCONS,16434.1481472
AFFLE,26275.2305152
AGARWALEYE,15935.012864
AIAENG,30969.298944
AIIL,48278.4444416
AJANTPHARM,32093.4641664
AKZOINDIA,14652.1391104
ALIVUS,10946.5280512
ALKEM,67476.5078528
AMBER,28374.2404608
AMBUJACEM,138026.6278912
ANANDRATHI,25772.924928
ANANTRAJ,22431.1279616
ANGELONE,22579.347456
ANTHEM,39559.0729728
ANURAS,12164.6923776
APARINDS,35075.8076416
APLAPOLLO,49924.3810816
APLLTD,17992.4041728
APOLLOHOSP,111893.21728
APOLLOTYRE,32039.2626176
APTUS,15934.4033792
ARE&M,18361.7847296
ASAHIINDIA,23478.7946496
ASHOKLEY,83553.0457088
ASIANPAINT,249508.3184128
ASTERDM,35525.2535296
ASTRAL,42073.3026304
ASTRAZEN,22956.2499072
ATGL,68242.6499072
ATHERENERG,25023.5977728
ATUL,16959.9238144
AUBANK,65651.5006464
AUROPHARMA,66246.2267392
AWL,35134.5508352
AXISBANK,383216.5957632
AZAD,10704.9107456
BAJAJ-AUTO,247471.9838208
BAJAJFINSV,331720.4516864
BAJAJHFL,91655.5235328
BAJAJHLDNG,148845.0748416
BAJFINANCE,647554.924544
BALKRISIND,45251.6872192
BANCOINDIA,11362.1671936
BANDHANBNK,24698.1132288
BANKBARODA,148081.9605504
BANKINDIA,63814.7428352
BASF,19025.7692672
BATAINDIA,13575.9568896
BAYERCROP,21531.8134784
BBTC,13451.10016
BDL,54452.2436608
BEL,306705.5439872
BELRISE,13716.1981952
BEML,16547.8596608
BERGEPAINT,64071.8733312
BHARATFORG,63093.3553152
BHARTIARTL,1221728.927744
BHARTIHEXA,90695.0017024
BHEL,90551.0518784
BIKAJI,18250.4013824
BIOCON,51427.1281152
BLACKBUCK,12641.1907072
BLS,13149.4125568
BLUEDART,15486.5319936
BLUEJET,10540.0557568
BLUESTARCO,36764.9849344
BOSCHLTD,109185.4532608
BPCL,159635.3282048
BRIGADE,24780.7082496
BRITANNIA,145343.8664704
BSE,99724.9974272
BSOFT,10423.9710208
CAMS,19183.099904
CANBK,126299.7602304
CANFINHOME,11723.4491392
CANHLIFE,11543.4504192
CAPLIPOINT,15525.1982336
CARBORUNIV,17001.5801344
CARTRADE,14154.9961216
CASTROLIND,18964.0441856
CCL,12961.501184
CDSL,32037.6111104
CEATLTD,16154.6633216
CELLO,14596.5826048
CEMPRO,14589.0607104
CENTRALBK,34794.4648704
CENTURYPLY,16809.6088064
CESC,23277.0174976
CGCL,19589.8687488
CGPOWER,115384.2675712
CHALET,20319.1549952
CHAMBLFERT,19419.6176896
CHENNPETRO,14531.518464
CHOICEIN,16992.3231744
CHOLAFIN,142018.609152
CHOLAHLDNG,37040.979968
CIEINDIA,16331.5499008
CIPLA,121286.8460544
CLEAN,10695.1892992
COALINDIA,236723.109888
COCHINSHIP,45312.688128
COFORGE,59477.1836928
COHANCE,28081.7303552
COLPAL,60295.5907072
CONCOR,39762.4246272
CONCORDBIO,14765.531136
COROMANDEL,63347.2811008
CPPLUS,16456.7810048
CRAFTSMAN,16156.1935872
CREDITACC,21966.5432576
CRISIL,35526.7346432
CROMPTON,17936.2480128
CUB,18887.8536704
CUMMINSIND,120342.1052928
CYIENT,12671.8681088
DABUR,92888.1508352
DALBHARAT,39303.938048
DATAPATTNS,14868.5307904
DCMSHRIRAM,19553.7928192
DEEPAKFERT,18040.6468608
DEEPAKNTR,23630.094336
DELHIVERY,33091.1645696
DEVYANI,19488.2240512
DIVISLAB,182735.3001984
DIXON,92702.7625984
DLF,187715.2497664
DMART,265642.2330368
DOMS,15698.5065472
DRREDDY,100334.7443712
ECLERX,21448.2665472
EDELWEISS,10681.716736
EICHERMOT,186687.3044992
EIDPARRY,18920.9182208
EIHOTEL,24473.6262144
ELECON,12339.0533632
ELGIEQUIP,15737.2399616
EMAMILTD,22828.949504
EMBDL,12477.2507648
EMCURE,25761.8624512
ENDURANCE,39858.225152
ENGINERSIN,11197.1811328
ENRIN,113445.7520128
ERIS,21595.2965632
ESCORTS,40595.9213056
ETERNAL,281877.020672
EUREKAFORB,10908.4991488
EXIDEIND,32287.2508416
FACT,57629.8549248
FEDERALBNK,57977.9559424
FINCABLES,11775.5650048
FINEORG,13546.5598976
FINPIPE,11271.2441856
FIRSTCRY,16609.5765504
FIVESTAR,18487.3992192
FLUOROCHEM,40730.6207232
FORCEMOT,23563.1099904
FORTIS,76572.4131328
FSL,24351.9438848
GABRIEL,17695.3573376
GAIL,118445.3623808
GALLANTT,12616.58112
GENUSPOWER,10779.234304
GESHIP,15190.6336768
GICRE,65605.7892864
GILLETTE,29202.6908672
GLAND,31560.4434944
GLAXO,44138.74176
GLENMARK,52342.5808384
GMDCLTD,18218.7819008
GMRAIRPORT,99729.5259648
GODFRYPHLP,47156.4058624
GODIGIT,32825.0261504
GODREJAGRO,12141.6179712
GODREJCP,117247.5609088
GODREJIND,36570.087424
GODREJPROP,66075.6299776
GPIL,17711.333376
GRANULES,13401.3804544
GRAPHITE,11747.5254272
GRASIM,183216.1247232
GRAVITA,12407.9497216
GRINDWELL,18007.8526464
GRINFRA,11134.1355008
GRSE,29602.5260032
GSPL,17396.7622144
GUJGASLTD,27601.0041344
GVT&D,76826.7583488
HAL,307208.4672512
HATSUN,24134.377472
HAVELLS,90825.3134848
HBLENGINE,27018.0204544
HCG,10649.7368064
HCLTECH,416317.9905024
HDBFS,59648.3506176
HDFCAMC,115392.9576448
HDFCBANK,1517212.6113792
HDFCLIFE,158659.0121984
HEG,10945.929216
HEROMOTOCO,111272.8010752
HEXT,42595.8834176
HFCL,10770.8604416
HINDALCO,176352.6705152
HINDCOPPER,31167.1816192
HINDPETRO,100677.9170816
HINDUNILVR,573907.7173248
HINDZINC,198616.3376128
HOMEFIRST,11772.309504
HONAUT,32041.680896
HSCL,22845.2646912
HUDCO,46321.2019712
HYUNDAI,194704.4151296
ICICIBANK,949464.2819072
ICICIGI,99597.713408
ICICIPRULI,87348.543488
IDBI,106700.1249792
IDEA,100433.9986432
IDFCFIRSTB,69575.4948608
IEX,12413.2999168
IFCI,14768.0346112
IGIL,16011.4163712
IGL,29548.4325888
IIFL,22137.192448
IIFLCAPS,10479.2072192
IKS,27905.9365888
INDGN,12739.2694272
INDHOTEL,99213.2268032
INDIACEM,12191.186944
INDIAMART,14842.7702272
INDIANB,116620.132352
INDIGO,220085.0661376
INDUSINDBK,61607.5165696
INDUSTOWER,105037.0899968
INFY,613956.9242112
INGERRAND,11936.595968
INOXINDIA,10917.9420672
INOXWIND,25987.5520512
INTELLECT,15669.5904256
IOB,75541.8464256
IOC,237759.2864768
IPCALAB,33103.3280512
IRB,27188.0044544
IRCON,15514.7354112
IRCTC,56326.7305472
IREDA,41993.7222656
IRFC,158511.4906624
ITC,524804.6333952
ITCHOTELS,44360.5680128
ITI,30557.437952
IXIGO,11141.2781056
J&KBANK,11425.4094336
JAINREC,13415.0742016
JBCHEPHARM,26492.952576
JBMA,15492.1435136
JINDALSAW,10938.1935104
JINDALSTEL,106378.3825408
JIOFIN,192461.012992
JKCEMENT,47403.450368
JKLAKSHMI,10812.358656
JKTYRE,12273.3568
JLHL,10401.6797696
JMFINANCIL,15484.0055808
JPPOWER,12211.867648
JSL,61380.0542208
JSWCEMENT,17694.9526528
JSWENERGY,90355.3155072
JSWHL,18481.6500736
JSWINFRA,59162.2832128
JSWSTEEL,291441.606656
JUBLFOOD,38632.8461312
JUBLINGREA,10495.7140992
JUBLPHARMA,18373.9940864
JWL,13439.2168448
JYOTHYLAB,11510.3391744
JYOTICNC,20365.7396224
KAJARIACER,18790.670336
KALYANKJIL,52954.4577024
KANSAINER,20065.6748544
KARURVYSYA,23841.939456
KAYNES,42961.3416448
KEC,21179.06432
KEI,37903.3288704
KFINTECH,18797.6056832
KIMS,29006.9577728
KIOCL,24871.0135808
KIRLOSBROS,14315.0465024
KIRLOSENG,14360.6153216
KOTAKBANK,415370.0777984
KPIGREEN,10144.5525504
KPIL,22275.571712
KPITTECH,31842.9855744
KPRMILL,37422.5174528
KSB,13480.7519232
LALPATHLAB,25941.5752704
LAURUSLABS,52892.041216
LEMONTREE,13148.6302208
LGEINDIA,111779.8924288
LICHSGFIN,31361.8432
LICI,566783.0104064
LINDEINDIA,50129.5710208
LLOYDSME,69187.6593664
LMW,16781.9247616
LODHA,123063.8022656
LT,548435.656704
LTF,68849.4084096
LTFOODS,14739.7984256
LTIM,169444.442112
LTTS,43721.3724672
LUPIN,89319.8467072
M&M,434236.7649792
M&MFIN,43335.139328
MAHABANK,44618.3440384
MAHSCOOTER,17265.8065408
MANAPPURAM,23401.2114944
MANKIND,95826.9423616
MANYAVAR,15743.2070144
MARICO,92713.9299328
MARUTI,511473.876992
MAXHEALTH,110314.1535744
MAZDOCK,107928.3482624
MCX,47087.648768
MEDANTA,36186.161152
METROBRAND,30728.7064576
METROPOLIS,10394.4536064
MFSL,54673.0835968
MGL,12299.6318208
MINDACORP,13494.4169984
MMTC,10079.3032704
MOTHERSON,110626.4850432
MOTILALOFS,59300.2889216
MPHASIS,52775.9966208
MRF,66694.0932096
MRPL,29769.6428032
MSUMI,31868.0727552
MUTHOOTFIN,127819.5400704
NAM-INDIA,55187.7279744
NATCOPHARM,14343.8659584
NATIONALUM,42501.5803904
NAUKRI,88442.0706304
NAVA,17117.2134912
NAVINFLUOR,31153.6091136
NBCC,31012.9852416
NCC,12276.912128
NESTLEIND,245417.6661504
NETWEB,20807.655424
NEULANDLAB,22516.4558336
NEWGEN,13503.4806272
NH,36962.14016
NHPC,83875.7646336
NIACL,30896.6883328
NIVABUPA,13922.2040576
NLCINDIA,36378.9254656
NMDC,65592.7803904
NSLNISP,12721.7598464
NTPC,322729.6202752
NTPCGREEN,85951.5584512
NUVAMA,26395.6299776
NUVOCO,14169.7400832
NYKAA,70427.5218432
OBEROIRLTY,64735.7464576
OFSS,73078.2171136
OIL,70734.086144
OLAELEC,19991.822336
OLECTRA,12763.3457152
ONESOURCE,20800.6365184
ONGC,320280.7758848
PAGEIND,45493.4331392
PARADEEP,13372.5577216
PATANJALI,65256.6790144
PAYTM,86703.6102656
PCBL,13596.7055872
PERSISTENT,91862.0012544
PETRONET,41367.650304
PFC,129684.1965568
PFIZER,23305.7026048
PFOCUS,13870.5780736
PGEL,15701.1836928
PGHH,42724.8222208
PGHL,10131.6132864
PHOENIXLTD,62392.7099392
PIDILITIND,146835.7935104
PIIND,56890.228736
PNB,138443.9873536
PNBHOUSING,23668.5049856
POLICYBZR,80856.5604352
POLYCAB,116465.8343936
POLYMED,19651.698688
POONAWALLA,38107.8601728
POWERGRID,259497.4466048
POWERINDIA,90067.3765376
PPLPHARMA,26360.5583872
PREMIERENE,47325.0004992
PRESTIGE,74309.5795712
PRIVISCL,12812.566528
PRUDENT,10315.6465664
PSB,21560.4068352
PTCIL,26237.4342656
PVRINOX,11661.2907008
RADICO,42652.0444928
RAILTEL,11514.7177984
RAINBOW,13849.6212992
RAMCOCEM,24828.5462528
RATNAMANI,16961.5622144
RBLBANK,20126.1105152
RECLTD,96627.9233536
REDINGTON,22993.6365568
RELAXO,10957.6953856
RELIANCE,2042872.46336
RITES,11767.5835392
RPOWER,17964.7315968
RRKABEL,16042.1838848
RUBICON,10519.3070592
RVNL,66292.1740288
SAFARI,10204.8415744
SAGILITY,23733.5150592
SAIL,56964.0747008
SAILIFE,19361.0858496
SAMMAANCAP,15055.6229632
SANOFI,10931.2540672
SANOFICONR,10934.3883264
SARDAEN,18584.5891072
SBFC,12279.5646976
SBICARD,82803.6677632
SBILIFE,197586.1116928
SBIN,886831.579136
SCHAEFFLER,64428.3695104
SCHNEIDER,20945.5136768
SCI,12256.854016
SHAILY,10933.1767296
SHREECEM,100151.0273024
SHRIPISTON,11713.7293312
SHRIRAMFIN,149077.8324992
SHYAMMETL,23351.7105152
SIEMENS,109809.762304
SIGNATURE,15111.9249408
SJVN,33776.4057088
SKFINDIA,10435.5659776
SOBHA,17687.445504
SOLARINDS,121039.5000832
SONACOMS,30022.9033984
SONATSOFTW,10148.9123328
SPLPETRO,13076.6782464
SRF,85942.4555008
STARHEALTH,29032.710144
SUMICHEM,23961.4902272
SUNDARMFIN,53545.8971648
SUNDRMFAST,19683.7752832
SUNPHARMA,404503.8682112
SUNTV,21631.3053184
SUPREMEIND,48843.1026176
SUZLON,81849.2342272
SWANCORP,13655.7494272
SWIGGY,95546.3696384
SYNGENE,24930.4875008
SYRMA,15618.3117824
TARIL,12158.0855296
TATACAP,137648.3016704
TATACHEM,22627.6048896
TATACOMM,52497.0000384
TATACONSUM,117795.3632256
TATAELXSI,32797.8319872
TATAINVEST,38795.3426432
TATAPOWER,125177.430016
TATASTEEL,221294.2053376
TATATECH,27462.6347008
TBOTEK,16799.768576
TCS,1104247.3115648
TDPOWERSYS,12461.8022912
TECHM,125598.0531712
TECHNOE,14809.587712
TEGA,12706.9487104
THELEELA,14089.682944
THERMAX,36815.2969216
TI,10221.666304
TIINDIA,57615.9350784
TIMKEN,23645.9933696
TITAGARH,11526.7272704
TITAN,336801.9820544
TMPV,150183.8835712
TORNTPHARM,120263.1999488
TORNTPOWER,64156.9980416
TRAVELFOOD,17087.5895808
TRENT,166339.7003264
TRIDENT,14307.6294656
TRITURBINE,16728.449024
TSFINV,14082.8819456
TTML,10664.1309696
TVSHLTD,30389.4233088
TVSMOTOR,165325.897728
UBL,47738.3491584
UCOBANK,40701.1885056
ULTRACEMCO,354047.09888
UNIONBANK,114618.5842688
UNITDSPR,103029.2504576
UNOMINDA,71161.9575808
UPL,55045.8097664
URBANCO,21819.2297984
USHAMART,14131.1901696
UTIAMC,15869.5702528
VBL,159579.1507456
VEDL,197198.3613952
VENTIVE,16909.1088384
VESUVIUS,10000.8935424
VGUARD,16097.0752
VIJAYA,10457.9121152
VIKRAMSOLR,11537.1433984
VINATIORGA,17317.3440512
VMM,66412.8585728
VOLTAS,43524.8201728
VTL,12415.0816768
WAAREEENER,98568.4901888
WAAREERTL,12708.8418816
WELCORP,24595.0906368
WELSPUNLIV,12245.3786624
WHIRLPOOL,17410.0463616
WIPRO,254275.0662656
WOCKPHARMA,21990.0674048
YESBANK,71001.243648
